participant_id,treatmentGroup,phase,trialNum,trial_id_key,userID,age,gender,education,residence,healthcareQualification,completionStatus,browserInfo,screenResolution,randomizationSeed,cognitive_score,big5_conscientiousness,big5_openness,big5_neuroticism,big5_extroversion,big5_agreeableness,trialType,imageID,response,confidence,time_sec,initial_decision,final_decision,decision_revised,ai_confidence,ai_prediction,initial_confidence,post_ai_confidence,dropdown_choice,bbox_iou,timestamp_unix
0pytyzzk2w,control,posttest,4,posttest_4,0pytyzzk2w,18-25,female,high-school,county-seat,nurse,in_progress,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1920x1080,476274,1,,,,,,posttest,/annotation/post_experiment/4.png,1.0,4.0,1.46,,,,,,,,,,1763728664
0pytyzzk2w,control,posttest,5,posttest_5,0pytyzzk2w,18-25,female,high-school,county-seat,nurse,in_progress,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1920x1080,476274,1,,,,,,posttest,/annotation/post_experiment/5.png,0.0,4.0,1.158,,,,,,,,,,1763728665
1w1vxaa4fp,treatment,baseline,1,baseline_1,1w1vxaa4fp,18-25,male,masters,budapest,none,in_progress,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1920x1080,822228,2,,,,,,baseline,/annotation/baseline/1.png,0.0,6.0,2.486,,,,,,,,,,1763726490
1w1vxaa4fp,treatment,baseline,2,baseline_2,1w1vxaa4fp,18-25,male,masters,budapest,none,in_progress,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1920x1080,822228,2,,,,,,baseline,/annotation/baseline/2.png,0.0,6.0,1.438,,,,,,,,,,1763726491
1w1vxaa4fp,treatment,baseline,3,baseline_3,1w1vxaa4fp,18-25,male,masters,budapest,none,in_progress,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1920x1080,822228,2,,,,,,baseline,/annotation/baseline/3.png,0.0,5.0,1.933,,,,,,,,,,1763726493
1w1vxaa4fp,treatment,baseline,4,baseline_4,1w1vxaa4fp,18-25,male,masters,budapest,none,in_progress,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1920x1080,822228,2,,,,,,baseline,/annotation/baseline/4.png,1.0,4.0,2.099,,,,,,,,,,1763726496
1w1vxaa4fp,treatment,baseline,5,baseline_5,1w1vxaa4fp,18-25,male,masters,budapest,none,in_progress,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1920x1080,822228,2,,,,,,baseline,/annotation/baseline/5.png,1.0,4.0,1.626,,,,,,,,,,1763726497
1w1vxaa4fp,treatment,experiment,1,experiment_1,1w1vxaa4fp,18-25,male,masters,budapest,none,in_progress,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1920x1080,822228,2,,,,,,experiment,/annotation/experiment/1.png,,,6.715,0.0,0.0,False,0.13338840007781982,0.0,7.0,7.0,tünet,,1763726540
1w1vxaa4fp,treatment,experiment,2,experiment_2,1w1vxaa4fp,18-25,male,masters,budapest,none,in_progress,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1920x1080,822228,2,,,,,,experiment,/annotation/experiment/2.png,,,25.993,1.0,0.0,True,0.004932005,0.0,7.0,7.0,tünet,,1763726566
1w1vxaa4fp,treatment,experiment,3,experiment_3,1w1vxaa4fp,18-25,male,masters,budapest,none,in_progress,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1920x1080,822228,2,,,,,,experiment,/annotation/experiment/3.png,,,22.518,0.0,0.0,False,0.9910439252853394,1.0,6.0,7.0,nincsen tünet,,1763726589
1w1vxaa4fp,treatment,experiment,4,experiment_4,1w1vxaa4fp,18-25,male,masters,budapest,none,in_progress,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1920x1080,822228,2,,,,,,experiment,/annotation/experiment/4.png,,,30.24,0.0,1.0,True,0.9864799380302429,1.0,5.0,7.0,nincsen tünet,,1763726619
1w1vxaa4fp,treatment,experiment,5,experiment_5,1w1vxaa4fp,18-25,male,masters,budapest,none,in_progress,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1920x1080,822228,2,,,,,,experiment,/annotation/experiment/5.png,,,19.481,1.0,1.0,False,0.999786913,1.0,7.0,7.0,tünet,0.08557844690966719,1763726639
1w1vxaa4fp,treatment,posttest,1,posttest_1,1w1vxaa4fp,18-25,male,masters,budapest,none,in_progress,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1920x1080,822228,2,,,,,,posttest,/annotation/post_experiment/1.png,0.0,5.0,1.926,,,,,,,,,,1763726642
1w1vxaa4fp,treatment,posttest,2,posttest_2,1w1vxaa4fp,18-25,male,masters,budapest,none,in_progress,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1920x1080,822228,2,,,,,,posttest,/annotation/post_experiment/2.png,0.0,6.0,1.687,,,,,,,,,,1763726644
1w1vxaa4fp,treatment,posttest,3,posttest_3,1w1vxaa4fp,18-25,male,masters,budapest,none,in_progress,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1920x1080,822228,2,,,,,,posttest,/annotation/post_experiment/3.png,1.0,4.0,10.945,,,,,,,,,,1763726655
1w1vxaa4fp,treatment,posttest,4,posttest_4,1w1vxaa4fp,18-25,male,masters,budapest,none,in_progress,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1920x1080,822228,2,,,,,,posttest,/annotation/post_experiment/4.png,1.0,3.0,1.572,,,,,,,,,,1763726656
1w1vxaa4fp,treatment,posttest,5,posttest_5,1w1vxaa4fp,18-25,male,masters,budapest,none,in_progress,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1920x1080,822228,2,,,,,,posttest,/annotation/post_experiment/5.png,0.0,5.0,7.567,,,,,,,,,,1763726664
