participant_id,treatmentGroup,phase,trialNum,user_response,csv_ground_truth_binary,csv_ai_probability,confidence,time_sec,userID,age,gender,education,residence,healthcareQualification,completionStatus,browserInfo,screenResolution,randomizationSeed,cognitive_score,big5_conscientiousness,big5_openness,big5_neuroticism,big5_extroversion,big5_agreeableness,trial_id_key,trialType,imageID,initial_decision,decision_revised,dropdown_choice,bbox_iou,initial_confidence,post_ai_confidence,csv_ground_truth_raw,csv_ai_prediction,csv_bbox_area_pct,csv_original_image_name,csv_overlay_path,ai_confidence,ai_prediction,ai_box_x,ai_box_y,ai_box_width,ai_box_height,user_box_x,user_box_y,user_box_width,user_box_height,timestamp_unix,original_response,original_final_decision
0spcrypuvm,control,baseline,1,0.0,0,0.69184428,5.0,2.292,0spcrypuvm,26-35,female,high-school,county-seat,nurse,in_progress,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1920x1080,280083,3,,,,,,baseline_1,baseline,/annotation/baseline/1.png,,,,,,,0,1,48.4515,dataset/test/0/9545822R.png,predicted/0/9545822R_gradcam.png,,,,,,,,,,,1763987548,0.0,
0spcrypuvm,control,baseline,2,1.0,0,0.03749398,3.0,1.43,0spcrypuvm,26-35,female,high-school,county-seat,nurse,in_progress,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1920x1080,280083,3,,,,,,baseline_2,baseline,/annotation/baseline/2.png,,,,,,,0,0,0.0,dataset/test/0/9384119R.png,predicted/0/9384119R_gradcam.png,,,,,,,,,,,1763987550,1.0,
0spcrypuvm,control,baseline,3,0.0,1,0.99932158,1.0,2.501,0spcrypuvm,26-35,female,high-school,county-seat,nurse,in_progress,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1920x1080,280083,3,,,,,,baseline_3,baseline,/annotation/baseline/3.png,,,,,,,2,1,75.3548,dataset/test/2/9076313R.png,predicted/2/9076313R_gradcam.png,,,,,,,,,,,1763987552,0.0,
0spcrypuvm,control,baseline,4,1.0,0,0.10200248,3.0,1.625,0spcrypuvm,26-35,female,high-school,county-seat,nurse,in_progress,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1920x1080,280083,3,,,,,,baseline_4,baseline,/annotation/baseline/4.png,,,,,,,0,0,6.6924,dataset/test/0/9097360R.png,predicted/0/9097360R_gradcam.png,,,,,,,,,,,1763987554,1.0,
0spcrypuvm,control,baseline,5,0.0,0,0.54088765,5.0,1.635,0spcrypuvm,26-35,female,high-school,county-seat,nurse,in_progress,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1920x1080,280083,3,,,,,,baseline_5,baseline,/annotation/baseline/5.png,,,,,,,0,1,57.8284,dataset/test/0/9397988L.png,predicted/0/9397988L_gradcam.png,,,,,,,,,,,1763987556,0.0,
0spcrypuvm,control,experiment,1,,1,0.71629494,5.0,1.875,0spcrypuvm,26-35,female,high-school,county-seat,nurse,in_progress,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1920x1080,280083,3,,,,,,experiment_1,experiment,/annotation/experiment/1.png,,,,,,,2,1,62.7551,dataset/test/2/9028786R.png,predicted/2/9028786R_gradcam.png,,,,,,,,,,,1763987559,0.0,
0spcrypuvm,control,experiment,2,,1,0.76771379,3.0,1.528,0spcrypuvm,26-35,female,high-school,county-seat,nurse,in_progress,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1920x1080,280083,3,,,,,,experiment_2,experiment,/annotation/experiment/2.png,,,,,,,2,1,69.7545,dataset/test/2/9797850L.png,predicted/2/9797850L_gradcam.png,,,,,,,,,,,1763987560,1.0,
0spcrypuvm,control,experiment,3,,1,0.65411919,7.0,1.674,0spcrypuvm,26-35,female,high-school,county-seat,nurse,in_progress,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1920x1080,280083,3,,,,,,experiment_3,experiment,/annotation/experiment/3.png,,,,,,,2,1,76.4648,dataset/test/2/9017876R.png,predicted/2/9017876R_gradcam.png,,,,,,,,,,,1763987562,0.0,
0spcrypuvm,control,experiment,4,,0,0.26939705,5.0,1.421,0spcrypuvm,26-35,female,high-school,county-seat,nurse,in_progress,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1920x1080,280083,3,,,,,,experiment_4,experiment,/annotation/experiment/4.png,,,,,,,0,0,25.9128,dataset/test/0/9771687L.png,predicted/0/9771687L_gradcam.png,,,,,,,,,,,1763987563,0.0,
0spcrypuvm,control,experiment,5,,0,0.21869558,5.0,19.557,0spcrypuvm,26-35,female,high-school,county-seat,nurse,in_progress,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36",1920x1080,280083,3,,,,,,experiment_5,experiment,/annotation/experiment/5.png,,,,,,,0,0,14.5747,dataset/test/0/9631230R.png,predicted/0/9631230R_gradcam.png,,,,,,,,,,,1763987583,0.0,
